日期,城市,商品,品类,销量,单价,销售额
2025-01-05,北京,无线鼠标,数码配件,120,49.9,5988
2025-01-08,上海,机械键盘,数码配件,85,299,25415
2025-01-12,广州,降噪耳机,数码配件,60,899,53940
2025-01-15,北京,便携充电宝,数码配件,200,99,19800
2025-01-20,上海,蓝牙音箱,数码配件,95,199,18905
2025-02-03,北京,保温杯,生活用品,150,79,11850
2025-02-09,广州,旅行收纳包,生活用品,70,129,9030
2025-02-14,上海,香薰蜡烛,生活用品,110,59,6490
2025-02-21,北京,懒人沙发,生活用品,25,399,9975
2025-02-27,广州,加湿器,生活用品,65,159,10335
2025-03-04,上海,速溶咖啡礼盒,食品饮料,180,89,16020
2025-03-08,北京,坚果大礼包,食品饮料,240,69,16560
2025-03-12,广州,手工曲奇,食品饮料,95,45,4275
2025-03-18,上海,气泡水整箱,食品饮料,300,55,16500
2025-03-25,北京,冻干水果,食品饮料,88,65,5720
2025-04-02,广州,瑜伽垫,运动户外,55,129,7095
2025-04-07,北京,跑步腰包,运动户外,75,49,3675
2025-04-13,上海,护膝,运动户外,90,89,8010
2025-04-19,广州,跳绳,运动户外,130,39,5070
2025-04-25,北京,露营灯,运动户外,40,159,6360
